"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Feature Write Demo test cases for testing perpose","227","verify home page url","","Fri Apr 25 22:33:35 IST 2025","passed","Fri Apr 25 22:33:36 IST 2025","","","",""
"","13456","user is able to enter the search menu in Staging Companies page","","Wed Apr 30 14:25:17 IST 2025","passed","Wed Apr 30 14:25:30 IST 2025","","","",""
"","25055","user is able to enter the search menu in EDI File Queue Dashboard page","","Wed May 07 00:00:02 IST 2025","broken","Wed May 07 00:00:27 IST 2025","","","",""
"Feature Write Demo test cases for testing perpose","286","UnSucess Login with wrong username","","Fri Apr 25 22:33:35 IST 2025","passed","Fri Apr 25 22:33:35 IST 2025","","","",""
"","11936","user is able to enter the search menu in Pool Drop Locations Schedule page","","Mon Apr 28 20:13:08 IST 2025","passed","Mon Apr 28 20:13:20 IST 2025","","","",""
"","24277","user is able to enter the search menu in Unit Flags page","","Mon Apr 28 20:15:08 IST 2025","broken","Mon Apr 28 20:15:32 IST 2025","","","",""
"","14841","The CMS Users Search page supports searching for Users details","","Tue May 06 23:57:38 IST 2025","passed","Tue May 06 23:57:53 IST 2025","","","",""
"","10923","The CMS Company Search page supports searching Exception ExtLocations details.","","Wed May 07 18:04:28 IST 2025","passed","Wed May 07 18:04:39 IST 2025","","","",""
"","15579","The CMS Company Search page supports searching Units details.","","Wed May 07 18:04:39 IST 2025","passed","Wed May 07 18:04:55 IST 2025","","","",""
"","11692","The CMS Company Search page supports searching Search EDI File Processing details.","","Wed May 07 18:04:55 IST 2025","passed","Wed May 07 18:05:07 IST 2025","","","",""
"Feature Write Demo test cases for testing perpose","229","verify logout button","","Fri Apr 25 22:33:36 IST 2025","passed","Fri Apr 25 22:33:36 IST 2025","","","",""
"","13348","The CMS Quick Tracking Options page supports selecting options from the menu.","","Wed May 07 18:09:06 IST 2025","passed","Wed May 07 18:09:19 IST 2025","","","",""
"","24624","User searches and downloads a specific invoice","","Wed Apr 30 12:57:14 IST 2025","passed","Wed Apr 30 12:57:38 IST 2025","","","",""
"","11499","The CMS Company Search page supports searching for Roles details.","","Wed May 07 18:03:26 IST 2025","passed","Wed May 07 18:03:37 IST 2025","","","",""
"","19518","The CMS Pool Reference Data Options page supports selecting options from the menu.","","Wed May 07 18:09:31 IST 2025","passed","Wed May 07 18:09:50 IST 2025","","","",""
"","13648","user is able to enter the search menu in Mass Renumber page","","Mon Apr 28 20:15:32 IST 2025","passed","Mon Apr 28 20:15:46 IST 2025","","","",""
"","24265","user is able to enter the search menu in Unit Inspections page","","Mon Apr 28 20:14:44 IST 2025","broken","Mon Apr 28 20:15:08 IST 2025","","","",""
"","11418","user is able to enter the search menu in Pool Classification Mappings page","","Mon Apr 28 20:12:39 IST 2025","passed","Mon Apr 28 20:12:50 IST 2025","","","",""
